No.;Time;signal strength;Source;Destination;Info;Length;;;;Signal 1;Signal 2
74;3.801.893.671;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=87/22272, ttl=64 (no response found!);161;;192.168.1.105;;-49 dBm;
75;3.802.863.580;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=87/22272, ttl=64 (no response found!);161;;192.168.1.105;;-49 dBm;
76;3.804.580.515;-48 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=87/22272, ttl=64 (reply in 78);161;;192.168.1.105;;-48 dBm;
77;3.871.407.951;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=52/13312, ttl=64 (request in 70);172;;192.168.1.109;;;-78 dBm
78;3.873.662.150;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=87/22272, ttl=64 (request in 76);172;;192.168.1.105;;-77 dBm;
79;3.875.664.645;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=87/22272, ttl=64;161;;192.168.1.105;;-52 dBm;
80;3.934.251.569;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=52/13312, ttl=64;161;;192.168.1.109;;;-48 dBm
81;3.934.277.054;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=52/13312, ttl=64;161;;192.168.1.109;;;-49 dBm
89;4.622.069.087;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=53/13568, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
90;4.649.636.451;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=53/13568, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
91;4.649.654.105;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=53/13568, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
92;4.651.147.303;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=53/13568, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
93;4.652.590.487;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=53/13568, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
94;4.652.614.455;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=53/13568, ttl=64 (reply in 95);161;;192.168.1.109;;;-50 dBm
95;4.659.386.389;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=53/13568, ttl=64 (request in 94);172;;192.168.1.109;;;-78 dBm
96;4.661.547.822;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=53/13568, ttl=64;161;;192.168.1.109;;;-51 dBm
97;4.801.611.554;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=88/22528, ttl=64 (no response found!);161;;192.168.1.105;;-58 dBm;
98;4.803.476.792;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=88/22528, ttl=64 (no response found!);161;;192.168.1.105;;-49 dBm;
99;4.803.511.452;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=88/22528, ttl=64 (reply in 100);161;;192.168.1.105;;-50 dBm;
100;4.809.462.488;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=88/22528, ttl=64 (request in 99);172;;192.168.1.105;;-78 dBm;
101;4.812.376.111;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=88/22528, ttl=64;161;;192.168.1.105;;-50 dBm;
102;4.812.400.919;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=88/22528, ttl=64;161;;192.168.1.105;;-49 dBm;
105;5.625.323.283;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=54/13824, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
106;5.673.898.035;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=54/13824, ttl=64 (no response found!);161;;192.168.1.109;;;-51 dBm
107;5.673.931.356;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=54/13824, ttl=64 (reply in 115);161;;192.168.1.109;;;-51 dBm
113;5.803.142.438;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=89/22784, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
114;5.804.689.518;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=89/22784, ttl=64 (reply in 117);161;;192.168.1.105;;-51 dBm;
115;5.813.532.154;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=54/13824, ttl=64 (request in 107);172;;192.168.1.109;;;-79 dBm
116;5.815.578.009;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=54/13824, ttl=64;161;;192.168.1.109;;;-51 dBm
117;5.815.732.209;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=89/22784, ttl=64 (request in 114);172;;192.168.1.105;;-79 dBm;
118;5.817.813.561;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=89/22784, ttl=64;161;;192.168.1.105;;-50 dBm;
125;6.627.023.956;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=55/14080, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
126;6.694.870.269;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=55/14080, ttl=64 (reply in 127);161;;192.168.1.109;;;-50 dBm
127;6.698.490.434;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=55/14080, ttl=64 (request in 126);172;;192.168.1.109;;;-78 dBm
128;6.700.123.488;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=55/14080, ttl=64;161;;192.168.1.109;;;-51 dBm
129;6.805.002.314;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=90/23040, ttl=64 (no response found!);161;;192.168.1.105;;-56 dBm;
130;6.805.022.630;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=90/23040, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
131;6.806.858.620;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=90/23040, ttl=64 (reply in 132);161;;192.168.1.105;;-51 dBm;
132;6.812.333.745;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=90/23040, ttl=64 (request in 131);172;;192.168.1.105;;-77 dBm;
133;6.815.247.100;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=90/23040, ttl=64;161;;192.168.1.105;;-50 dBm;
142;7.722.806.675;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=56/14336, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
143;7.722.825.185;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=56/14336, ttl=64 (no response found!);161;;192.168.1.109;;;-51 dBm
144;7.722.840.775;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=56/14336, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
145;7.722.856.849;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=56/14336, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
146;7.722.872.205;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=56/14336, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
147;7.722.888.580;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=56/14336, ttl=64 (reply in 154);161;;192.168.1.109;;;-51 dBm
148;7.806.264.501;-61 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=91/23296, ttl=64 (no response found!);161;;192.168.1.105;;-61 dBm;
149;7.809.013.547;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=91/23296, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
150;7.809.037.521;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=91/23296, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
151;7.809.053.379;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=91/23296, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
152;7.809.073.004;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=91/23296, ttl=64 (no response found!);161;;192.168.1.105;;-51 dBm;
153;7.809.088.697;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=91/23296, ttl=64 (reply in 155);161;;192.168.1.105;;-51 dBm;
154;7.863.688.057;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=56/14336, ttl=64 (request in 147);172;;192.168.1.109;;;-78 dBm
155;7.865.468.806;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=91/23296, ttl=64 (request in 153);172;;192.168.1.105;;-79 dBm;
156;7.867.679.857;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=91/23296, ttl=64;161;;192.168.1.105;;-50 dBm;
157;7.867.704.415;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=91/23296, ttl=64;161;;192.168.1.105;;-50 dBm;
160;8.257.145.052;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=56/14336, ttl=64;161;;192.168.1.109;;;-50 dBm
184;8.627.912.068;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=57/14592, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
185;8.643.098.404;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=57/14592, ttl=64 (reply in 186);161;;192.168.1.109;;;-50 dBm
186;8.648.300.462;-80 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=57/14592, ttl=64 (request in 185);172;;192.168.1.109;;;-80 dBm
187;8.650.199.919;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=57/14592, ttl=64;161;;192.168.1.109;;;-50 dBm
188;8.807.729.120;-59 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=92/23552, ttl=64 (no response found!);161;;192.168.1.105;;-59 dBm;
189;8.809.046.745;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=92/23552, ttl=64 (reply in 190);161;;192.168.1.105;;-51 dBm;
190;8.810.367.899;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=92/23552, ttl=64 (request in 189);172;;192.168.1.105;;-79 dBm;
191;8.812.325.427;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=92/23552, ttl=64;161;;192.168.1.105;;-50 dBm;
192;8.812.349.594;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=92/23552, ttl=64;161;;192.168.1.105;;-50 dBm;
193;8.812.366.529;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=92/23552, ttl=64;161;;192.168.1.105;;-50 dBm;
194;8.812.382.257;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=92/23552, ttl=64;161;;192.168.1.105;;-51 dBm;
203;9.631.466.433;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=58/14848, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
204;9.667.946.058;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=58/14848, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
205;9.667.966.203;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=58/14848, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
206;9.667.983.203;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=58/14848, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
207;9.668.690.744;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=58/14848, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
208;9.668.715.136;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=58/14848, ttl=64 (reply in 209);161;;192.168.1.109;;;-50 dBm
209;9.805.318.168;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=58/14848, ttl=64 (request in 208);172;;192.168.1.109;;;-77 dBm
210;9.807.439.209;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=58/14848, ttl=64;161;;192.168.1.109;;;-50 dBm
211;9.807.463.530;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=58/14848, ttl=64;161;;192.168.1.109;;;-50 dBm
224;10.632.939.564;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=59/15104, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
225;10.690.422.443;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=59/15104, ttl=64 (no response found!);161;;192.168.1.109;;;-48 dBm
226;10.692.029.933;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=59/15104, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
227;10.692.047.243;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=59/15104, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
228;10.692.062.210;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=59/15104, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
229;10.692.077.368;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=59/15104, ttl=64 (reply in 230);161;;192.168.1.109;;;-50 dBm
230;10.699.350.985;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=59/15104, ttl=64 (request in 229);172;;192.168.1.109;;;-78 dBm
231;10.699.618.252;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=59/15104, ttl=64;172;;192.168.1.109;;;-78 dBm
232;10.786.240.653;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=93/23808, ttl=64 (no response found!);161;;192.168.1.105;;-58 dBm;
235;10.786.334.403;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=93/23808, ttl=64 (no response found!);161;;192.168.1.105;;-51 dBm;
236;10.786.351.014;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=93/23808, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
237;10.786.366.031;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=93/23808, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
238;10.787.283.631;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=93/23808, ttl=64 (no response found!);161;;192.168.1.105;;-51 dBm;
239;10.789.788.898;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=93/23808, ttl=64 (reply in 240);161;;192.168.1.105;;-50 dBm;
240;10.795.380.621;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=93/23808, ttl=64 (request in 239);172;;192.168.1.105;;-77 dBm;
241;10.797.024.798;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=93/23808, ttl=64;161;;192.168.1.105;;-50 dBm;
242;10.810.593.905;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=94/24064, ttl=64 (no response found!);161;;192.168.1.105;;-58 dBm;
243;10.817.494.049;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=94/24064, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
244;10.817.519.132;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=94/24064, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
245;10.818.635.098;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=94/24064, ttl=64 (reply in 246);161;;192.168.1.105;;-58 dBm;
246;10.818.692.330;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=94/24064, ttl=64 (request in 245);172;;192.168.1.105;;-77 dBm;
247;10.820.133.941;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=94/24064, ttl=64;161;;192.168.1.105;;-50 dBm;
248;10.896.233.928;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=59/15104, ttl=64;161;;192.168.1.109;;;-50 dBm
249;10.896.256.170;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=59/15104, ttl=64;161;;192.168.1.109;;;-50 dBm
262;11.715.065.634;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=60/15360, ttl=64 (reply in 265);161;;192.168.1.109;;;-50 dBm
263;11.809.789.221;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=95/24320, ttl=64 (no response found!);161;;192.168.1.105;;-55 dBm;
264;11.810.769.271;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=95/24320, ttl=64 (reply in 266);161;;192.168.1.105;;-51 dBm;
265;11.851.535.652;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=60/15360, ttl=64 (request in 262);172;;192.168.1.109;;;-77 dBm
266;11.853.748.421;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=95/24320, ttl=64 (request in 264);172;;192.168.1.105;;-77 dBm;
267;11.855.746.015;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=95/24320, ttl=64;161;;192.168.1.105;;-50 dBm;
268;11.919.845.050;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=60/15360, ttl=64;161;;192.168.1.109;;;-50 dBm
