No.;Time;Signal Strength;Source;Destination;Protocol;Length;Info;;;;
83;4.115.026.103;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=82/20992, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
84;4.253.017.486;-72 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=48/12288, ttl=64 (no response found!);;192.168.1.109;;-72 dBm
85;4.456.536.839;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=82/20992, ttl=64 (reply in 87);192.168.1.105;;0;
86;4.456.562.954;-51 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=48/12288, ttl=64 (reply in 88);;192.168.1.109;;-51 dBm
87;4.461.604.484;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=82/20992, ttl=64 (request in 85);192.168.1.105;;-50 dBm;
88;4.547.189.158;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=48/12288, ttl=64 (request in 86);;192.168.1.109;;-50 dBm
103;5.115.276.259;-56 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=83/21248, ttl=64 (no response found!);192.168.1.105;;-56 dBm;
104;5.255.201.801;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=49/12544, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
108;5.683.731.554;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=83/21248, ttl=64 (reply in 111);192.168.1.105;;0;
109;5.683.757.553;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=49/12544, ttl=64 (reply in 110);;192.168.1.109;;-50 dBm
110;5.687.506.753;-75 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=49/12544, ttl=64 (request in 109);;192.168.1.109;;-75 dBm
111;5.689.495.880;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=83/21248, ttl=64 (request in 108);192.168.1.105;;-50 dBm;
112;5.689.531.778;-51 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=49/12544, ttl=64;;192.168.1.109;;-51 dBm
119;6.115.777.400;-56 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=84/21504, ttl=64 (no response found!);192.168.1.105;;-56 dBm;
120;6.254.509.508;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=50/12800, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
121;6.300.185.409;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=84/21504, ttl=64 (reply in 124);192.168.1.105;;0;
122;6.300.212.557;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=50/12800, ttl=64 (reply in 123);;192.168.1.109;;-50 dBm
123;6.306.205.542;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=50/12800, ttl=64 (request in 122);;192.168.1.109;;-50 dBm
124;6.306.242.667;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=84/21504, ttl=64 (request in 121);192.168.1.105;;-50 dBm;
134;7.117.469.979;-59 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=85/21760, ttl=64 (no response found!);192.168.1.105;;-59 dBm;
135;7.119.277.629;-50 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=85/21760, ttl=64 (reply in 136);192.168.1.105;;-50 dBm;
136;7.125.531.581;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=85/21760, ttl=64 (request in 135);192.168.1.105;;-50 dBm;
137;7.125.555.915;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=85/21760, ttl=64;192.168.1.105;;-50 dBm;
138;7.256.128.183;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=51/13056, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
139;7.257.611.379;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=51/13056, ttl=64 (reply in 140);;192.168.1.109;;-50 dBm
140;7.260.213.563;-76 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=51/13056, ttl=64 (request in 139);;192.168.1.109;;-76 dBm
141;7.311.909.214;-51 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=51/13056, ttl=64;;192.168.1.109;;-51 dBm
158;8.138.069.130;-56 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;-56 dBm;
159;8.255.430.199;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
161;8.449.402.085;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
162;8.449.428.501;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
163;8.449.658.500;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
164;8.449.684.176;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
165;8.450.112.253;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
166;8.450.138.135;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
167;8.450.567.853;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
168;8.450.596.601;-51 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-51 dBm
169;8.450.891.236;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
170;8.450.916.834;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
171;8.451.400.110;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
172;8.451.427.495;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
173;8.451.646.510;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
174;8.451.671.878;-51 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (no response found!);;192.168.1.109;;-51 dBm
175;8.452.106.803;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (no response found!);192.168.1.105;;0;
176;8.452.132.360;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=52/13312, ttl=64 (reply in 179);;192.168.1.109;;-50 dBm
177;8.453.005.020;-50 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=86/22016, ttl=64 (reply in 178);192.168.1.105;;-50 dBm;
178;8.455.902.510;;192.168.1.100;192.168.1.105;ICMP;162;Echo (ping) reply    id=0x0b53, seq=86/22016, ttl=64 (request in 177);192.168.1.105;;0;
179;8.455.924.127;-73 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=52/13312, ttl=64 (request in 176);;192.168.1.109;;-73 dBm
180;8.457.593.353;;192.168.1.100;192.168.1.105;ICMP;162;Echo (ping) reply    id=0x0b53, seq=86/22016, ttl=64;192.168.1.105;;0;
181;8.457.613.445;-73 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=52/13312, ttl=64;;192.168.1.109;;-73 dBm
182;8.459.430.210;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=86/22016, ttl=64;192.168.1.105;;-50 dBm;
183;8.459.466.493;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=52/13312, ttl=64;;192.168.1.109;;-50 dBm
195;9.119.143.426;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=87/22272, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
196;9.258.683.358;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=53/13568, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
197;9.259.469.373;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=53/13568, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
198;9.367.823.813;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=87/22272, ttl=64 (reply in 201);192.168.1.105;;0;
199;9.367.850.245;-51 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=53/13568, ttl=64 (no response found!);;192.168.1.109;;-51 dBm
200;9.367.867.030;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=53/13568, ttl=64 (reply in 202);;192.168.1.109;;-50 dBm
201;9.374.104.012;-75 dBm;192.168.1.100;192.168.1.105;ICMP;172;Echo (ping) reply    id=0x0b53, seq=87/22272, ttl=64 (request in 198);192.168.1.105;;-75 dBm;
202;9.375.823.129;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=53/13568, ttl=64 (request in 200);;192.168.1.109;;-50 dBm
212;10.260.125.731;-70 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-70 dBm
213;10.292.738.181;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
214;10.292.763.291;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
215;10.292.778.864;-51 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-51 dBm
216;10.292.793.682;-51 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-51 dBm
217;10.293.800.131;-51 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-51 dBm
218;10.294.785.081;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
219;10.294.809.349;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (no response found!);;192.168.1.109;;-50 dBm
220;10.295.632.591;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=54/13824, ttl=64 (reply in 221);;192.168.1.109;;-50 dBm
221;10.298.123.223;-73 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=54/13824, ttl=64 (request in 220);;192.168.1.109;;-73 dBm
222;10.298.255.116;-72 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=54/13824, ttl=64;;192.168.1.109;;-72 dBm
223;10.299.851.791;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=54/13824, ttl=64;;192.168.1.109;;-50 dBm
233;10.786.276.785;-59 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=88/22528, ttl=64 (no response found!);192.168.1.105;;-59 dBm;
234;10.786.302.634;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=87/22272, ttl=64;192.168.1.105;;-50 dBm;
250;10.904.320.028;-50 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=88/22528, ttl=64 (no response found!);192.168.1.105;;-50 dBm;
251;10.904.344.053;-50 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=88/22528, ttl=64 (reply in 252);192.168.1.105;;-50 dBm;
252;10.910.791.129;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=88/22528, ttl=64 (request in 251);192.168.1.105;;-50 dBm;
253;10.910.815.147;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=88/22528, ttl=64;192.168.1.105;;-50 dBm;
254;10.910.830.319;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=88/22528, ttl=64;192.168.1.105;;-50 dBm;
255;11.124.225.464;-58 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=89/22784, ttl=64 (no response found!);192.168.1.105;;-58 dBm;
256;11.125.531.745;-51 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=89/22784, ttl=64 (reply in 257);192.168.1.105;;-51 dBm;
257;11.129.958.429;-51 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=89/22784, ttl=64 (request in 256);192.168.1.105;;-51 dBm;
258;11.261.412.802;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=55/14080, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
259;11.262.947.551;-51 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=55/14080, ttl=64 (reply in 260);;192.168.1.109;;-51 dBm
260;11.265.697.311;-74 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=55/14080, ttl=64 (request in 259);;192.168.1.109;;-74 dBm
261;11.267.331.336;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=55/14080, ttl=64;;192.168.1.109;;-50 dBm
269;12.126.035.110;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=90/23040, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
270;12.147.164.333;-50 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=90/23040, ttl=64 (reply in 271);192.168.1.105;;-50 dBm;
271;12.148.804.093;-76 dBm;192.168.1.100;192.168.1.105;ICMP;172;Echo (ping) reply    id=0x0b53, seq=90/23040, ttl=64 (request in 270);192.168.1.105;;-76 dBm;
272;12.151.226.336;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=90/23040, ttl=64;192.168.1.105;;-50 dBm;
273;12.151.243.846;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=90/23040, ttl=64;192.168.1.105;;-50 dBm;
274;12.151.260.786;-51 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=90/23040, ttl=64;192.168.1.105;;-51 dBm;
275;12.265.427.827;-50 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=56/14336, ttl=64 (reply in 276);;192.168.1.109;;-50 dBm
276;12.268.158.627;-73 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=56/14336, ttl=64 (request in 275);;192.168.1.109;;-73 dBm
277;12.270.293.910;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=56/14336, ttl=64;;192.168.1.109;;-50 dBm
291;13.126.947.379;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=91/23296, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
292;13.364.384.462;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=91/23296, ttl=64 (reply in 294);192.168.1.105;;0;
293;13.364.410.946;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=57/14592, ttl=64 (reply in 295);;192.168.1.109;;-50 dBm
294;13.368.120.894;-75 dBm;192.168.1.100;192.168.1.105;ICMP;172;Echo (ping) reply    id=0x0b53, seq=91/23296, ttl=64 (request in 292);192.168.1.105;;-75 dBm;
295;13.368.441.029;-75 dBm;192.168.1.100;192.168.1.109;ICMP;172;Echo (ping) reply    id=0x0a97, seq=57/14592, ttl=64 (request in 293);;192.168.1.109;;-75 dBm
296;13.370.542.908;-51 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=91/23296, ttl=64;192.168.1.105;;-51 dBm;
297;13.370.579.644;-51 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=57/14592, ttl=64;;192.168.1.109;;-51 dBm
307;14.127.106.332;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=92/23552, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
308;14.265.897.154;-70 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=58/14848, ttl=64 (no response found!);;192.168.1.109;;-70 dBm
309;14.283.625.487;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=92/23552, ttl=64 (reply in 311);192.168.1.105;;0;
310;14.283.650.829;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=58/14848, ttl=64 (reply in 312);;192.168.1.109;;-50 dBm
311;14.288.960.240;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=92/23552, ttl=64 (request in 309);192.168.1.105;;-50 dBm;
312;14.377.415.476;-51 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=58/14848, ttl=64 (request in 310);;192.168.1.109;;-51 dBm
323;15.128.796.163;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=93/23808, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
324;15.207.244.533;-50 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=93/23808, ttl=64 (reply in 325);192.168.1.105;;-50 dBm;
325;15.213.876.659;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=93/23808, ttl=64 (request in 324);192.168.1.105;;-50 dBm;
326;15.268.029.168;-70 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=59/15104, ttl=64 (no response found!);;192.168.1.109;;-70 dBm
327;15.269.938.806;-51 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=59/15104, ttl=64 (reply in 328);;192.168.1.109;;-51 dBm
328;15.274.455.512;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=59/15104, ttl=64 (request in 327);;192.168.1.109;;-50 dBm
338;16.129.820.469;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=94/24064, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
339;16.269.816.571;-71 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=60/15360, ttl=64 (no response found!);;192.168.1.109;;-71 dBm
340;16.436.111.765;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=94/24064, ttl=64 (reply in 343);192.168.1.105;;0;
341;16.436.137.662;-50 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=60/15360, ttl=64 (reply in 342);;192.168.1.109;;-50 dBm
342;16.442.113.709;-50 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=60/15360, ttl=64 (request in 341);;192.168.1.109;;-50 dBm
343;16.442.149.459;-50 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=94/24064, ttl=64 (request in 340);192.168.1.105;;-50 dBm;
353;17.129.836.383;-56 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=95/24320, ttl=64 (no response found!);192.168.1.105;;-56 dBm;
354;17.271.680.994;-70 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=61/15616, ttl=64 (no response found!);;192.168.1.109;;-70 dBm
355;17.271.954.332;-67 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=61/15616, ttl=64 (no response found!);;192.168.1.109;;-67 dBm
356;17.359.912.819;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=95/24320, ttl=64 (reply in 358);192.168.1.105;;0;
