No.;Time;signal strength;Source;Destination;Info;Length;;;S1D1;S2D1
79;5.358.648.095;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (reply in 80);158;192.168.1.105;;-55 dBm;-48 dBm
80;5.364.435.589;-80 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=283/6913, ttl=64 (request in 79);172;192.168.1.105;;-52 dBm;-48 dBm
81;5.366.699.084;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=283/6913, ttl=64;161;192.168.1.105;;-51 dBm;-48 dBm
88;6.232.350.301;-49 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=162/41472, ttl=64 (reply in 93);161;;192.168.1.109;-56 dBm;-48 dBm
89;6.245.813.813;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=284/7169, ttl=64 (no response found!);161;192.168.1.105;;-49 dBm;-48 dBm
90;6.247.771.298;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=284/7169, ttl=64 (reply in 91);161;192.168.1.105;;-56 dBm;-51 dBm
91;6.372.920.347;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=284/7169, ttl=64 (request in 90);161;192.168.1.105;;-49 dBm;-77 dBm
92;6.372.945.670;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=284/7169, ttl=64;161;192.168.1.105;;-57 dBm;-52 dBm
93;6.438.853.371;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=162/41472, ttl=64 (request in 88);161;;192.168.1.109;-50 dBm;-51 dBm
94;6.438.877.207;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=162/41472, ttl=64;161;;192.168.1.109;-51 dBm;-52 dBm
95;6.438.892.655;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=162/41472, ttl=64;161;;192.168.1.109;-50 dBm;-51 dBm
96;6.438.908.090;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=162/41472, ttl=64;161;;192.168.1.109;-50 dBm;-51 dBm
97;6.438.923.138;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=162/41472, ttl=64;161;;192.168.1.109;-53 dBm;-51 dBm
103;7.154.368.982;-55 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=163/41728, ttl=64 (reply in 104);161;;192.168.1.109;-53 dBm;-51 dBm
104;7.161.183.649;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=163/41728, ttl=64 (request in 103);172;;192.168.1.109;-51 dBm;-51 dBm
105;7.163.863.947;-55 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=163/41728, ttl=64;161;;192.168.1.109;-53 dBm;-51 dBm
106;7.163.904.375;-54 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=163/41728, ttl=64;161;;192.168.1.109;-53 dBm;-76 dBm
107;7.251.793.860;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=285/7425, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
108;7.254.652.179;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=285/7425, ttl=64 (no response found!);161;192.168.1.105;;-53 dBm;-51 dBm
109;7.254.670.221;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=285/7425, ttl=64 (reply in 110);161;192.168.1.105;;-77 dBm;-77 dBm
110;7.264.786.463;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=285/7425, ttl=64 (request in 109);172;192.168.1.105;;-53 dBm;-50 dBm
111;7.265.207.194;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=285/7425, ttl=64;172;192.168.1.105;;-55 dBm;-51 dBm
112;7.268.716.535;-53 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=285/7425, ttl=64;161;192.168.1.105;;-53 dBm;-51 dBm
118;8.178.483.110;-55 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=164/41984, ttl=64 (reply in 121);161;;192.168.1.109;-54 dBm;-77 dBm
119;8.247.643.900;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=286/7681, ttl=64 (no response found!);161;192.168.1.105;;-54 dBm;-51 dBm
120;8.249.398.741;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=286/7681, ttl=64 (reply in 122);161;192.168.1.105;;-55 dBm;-52 dBm
121;8.319.222.186;-55 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=164/41984, ttl=64 (request in 118);161;;192.168.1.109;-55 dBm;-77 dBm
122;8.319.904.995;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=286/7681, ttl=64 (request in 120);172;192.168.1.105;;-55 dBm;-51 dBm
123;8.322.062.970;-53 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=286/7681, ttl=64;161;192.168.1.105;;-55 dBm;-51 dBm
129;9.202.370.930;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=165/42240, ttl=64 (reply in 130);161;;192.168.1.109;-48 dBm;-51 dBm
130;9.210.999.597;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=165/42240, ttl=64 (request in 129);161;;192.168.1.109;-48 dBm;-51 dBm
131;9.249.198.027;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=287/7937, ttl=64 (no response found!);161;192.168.1.105;;-48 dBm;-51 dBm
132;9.250.665.788;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=287/7937, ttl=64 (reply in 133);161;192.168.1.105;;-55 dBm;-52 dBm
133;9.254.144.491;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=287/7937, ttl=64 (request in 132);161;192.168.1.105;;-52 dBm;-77 dBm
138;10.226.322.135;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=166/42496, ttl=64 (reply in 139);161;;192.168.1.109;-77 dBm;-51 dBm
139;10.237.069.479;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=166/42496, ttl=64 (request in 138);161;;192.168.1.109;-52 dBm;-51 dBm
140;10.250.254.345;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=288/8193, ttl=64 (no response found!);161;192.168.1.105;;-56 dBm;-77 dBm
141;10.253.531.414;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=288/8193, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
142;10.253.567.880;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=288/8193, ttl=64 (reply in 143);161;192.168.1.105;;-77 dBm;-51 dBm
143;10.257.551.197;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=288/8193, ttl=64 (request in 142);161;192.168.1.105;;-51 dBm;-52 dBm
157;11.250.628.084;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=167/42752, ttl=64 (reply in 162);161;;192.168.1.109;-56 dBm;-50 dBm
158;11.251.744.955;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=289/8449, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-77 dBm
159;11.254.012.868;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=289/8449, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-51 dBm
160;11.254.039.740;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=289/8449, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-52 dBm
161;11.254.055.716;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=289/8449, ttl=64 (reply in 163);161;192.168.1.105;;-54 dBm;-77 dBm
162;11.260.735.707;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=167/42752, ttl=64 (request in 157);161;;192.168.1.109;-51 dBm;-52 dBm
163;11.263.072.635;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=289/8449, ttl=64 (request in 161);161;192.168.1.105;;-51 dBm;-50 dBm
170;12.199.360.448;-55 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=168/43008, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
171;12.199.379.115;-55 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=168/43008, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-52 dBm
172;12.205.273.365;-54 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=168/43008, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
173;12.205.461.032;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=168/43008, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
174;12.205.775.668;-55 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=168/43008, ttl=64 (reply in 184);161;;192.168.1.109;-52 dBm;-77 dBm
175;12.252.571.451;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=290/8705, ttl=64 (no response found!);161;192.168.1.105;;-58 dBm;-51 dBm
176;12.255.365.891;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=290/8705, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-52 dBm
177;12.255.390.734;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=290/8705, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-84 dBm
178;12.255.406.159;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=290/8705, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-51 dBm
179;12.255.425.441;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=290/8705, ttl=64 (no response found!);161;192.168.1.105;;-55 dBm;-52 dBm
180;12.255.441.097;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=290/8705, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-77 dBm
181;12.256.559.565;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=290/8705, ttl=64 (reply in 182);161;192.168.1.105;;-52 dBm;-51 dBm
182;12.345.768.830;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=290/8705, ttl=64 (request in 181);172;192.168.1.105;;-51 dBm;-52 dBm
183;12.347.281.705;-53 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=290/8705, ttl=64;161;192.168.1.105;;-51 dBm;-77 dBm
184;12.376.411.813;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=168/43008, ttl=64 (request in 174);161;;192.168.1.109;-51 dBm;-52 dBm
195;13.254.618.165;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=291/8961, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-51 dBm
196;13.297.927.400;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=169/43264, ttl=64 (no response found!);162;;192.168.1.109;-51 dBm;-51 dBm
197;13.297.953.750;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=291/8961, ttl=64 (no response found!);172;192.168.1.105;;-56 dBm;-77 dBm
198;13.298.410.709;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=169/43264, ttl=64 (no response found!);162;;192.168.1.109;-50 dBm;-50 dBm
199;13.298.436.092;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=291/8961, ttl=64 (no response found!);172;192.168.1.105;;-77 dBm;-51 dBm
200;13.298.742.365;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=169/43264, ttl=64 (no response found!);162;;192.168.1.109;-51 dBm;-51 dBm
201;13.298.768.273;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=291/8961, ttl=64 (no response found!);172;192.168.1.105;;-57 dBm;-51 dBm
202;13.299.904.959;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=169/43264, ttl=64 (no response found!);162;;192.168.1.109;-51 dBm;-51 dBm
203;13.299.930.804;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=291/8961, ttl=64 (no response found!);172;192.168.1.105;;-77 dBm;-48 dBm
204;13.300.331.427;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=169/43264, ttl=64 (no response found!);162;;192.168.1.109;-51 dBm;-48 dBm
205;13.300.357.701;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=291/8961, ttl=64 (reply in 206);172;192.168.1.105;;-57 dBm;-49 dBm
206;13.311.942.668;-55 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=291/8961, ttl=64 (request in 205);161;192.168.1.105;;-51 dBm;-50 dBm
219;14.219.462.173;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=170/43520, ttl=64 (reply in 220);161;;192.168.1.109;-50 dBm;-48 dBm
220;14.229.146.945;-47 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=170/43520, ttl=64 (request in 219);161;;192.168.1.109;-51 dBm;-49 dBm
221;14.229.171.492;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=170/43520, ttl=64;161;;192.168.1.109;-51 dBm;-50 dBm
222;14.229.187.337;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=170/43520, ttl=64;161;;192.168.1.109;-52 dBm;-50 dBm
223;14.230.671.548;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=170/43520, ttl=64;161;;192.168.1.109;-77 dBm;-49 dBm
224;14.231.871.465;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=170/43520, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
225;14.231.896.388;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=170/43520, ttl=64;161;;192.168.1.109;-56 dBm;-51 dBm
226;14.255.555.514;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=292/9217, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
227;14.257.034.421;-48 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=292/9217, ttl=64 (reply in 228);161;192.168.1.105;;-76 dBm;-52 dBm
228;14.262.461.695;-48 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=292/9217, ttl=64 (request in 227);161;192.168.1.105;;-52 dBm;-50 dBm
229;14.262.486.181;-48 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=292/9217, ttl=64;161;192.168.1.105;;-58 dBm;-53 dBm
240;15.243.978.183;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=171/43776, ttl=64 (reply in 241);161;;192.168.1.109;-51 dBm;-78 dBm
241;15.251.243.980;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=171/43776, ttl=64 (request in 240);172;;192.168.1.109;-77 dBm;-51 dBm
242;15.253.383.642;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=171/43776, ttl=64;161;;192.168.1.109;-51 dBm;-52 dBm
243;15.256.695.375;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=293/9473, ttl=64 (no response found!);161;192.168.1.105;;-57 dBm;-77 dBm
244;15.258.419.226;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=293/9473, ttl=64 (reply in 245);161;192.168.1.105;;-51 dBm;-51 dBm
245;15.259.703.177;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=293/9473, ttl=64 (request in 244);172;192.168.1.105;;-77 dBm;-51 dBm
246;15.261.834.219;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=293/9473, ttl=64;161;192.168.1.105;;-50 dBm;-76 dBm
263;16.165.016.319;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=172/44032, ttl=64 (reply in 264);161;;192.168.1.109;-57 dBm;-52 dBm
264;16.174.249.460;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=172/44032, ttl=64 (request in 263);161;;192.168.1.109;-51 dBm;-49 dBm
265;16.258.089.558;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=294/9729, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-47 dBm
266;16.259.362.975;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=294/9729, ttl=64 (reply in 267);161;192.168.1.105;;-52 dBm;-49 dBm
267;16.267.650.789;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=294/9729, ttl=64 (request in 266);172;192.168.1.105;;-51 dBm;-47 dBm
268;16.269.498.549;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=294/9729, ttl=64;161;192.168.1.105;;-51 dBm;-51 dBm
281;17.189.380.114;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=173/44288, ttl=64 (reply in 282);161;;192.168.1.109;-77 dBm;-51 dBm
282;17.199.427.103;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=173/44288, ttl=64 (request in 281);161;;192.168.1.109;-52 dBm;-51 dBm
283;17.199.451.424;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=173/44288, ttl=64;161;;192.168.1.109;-57 dBm;-77 dBm
284;17.200.769.262;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=173/44288, ttl=64;161;;192.168.1.109;-57 dBm;-50 dBm
285;17.200.794.962;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=173/44288, ttl=64;161;;192.168.1.109;-51 dBm;-52 dBm
286;17.200.810.562;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=173/44288, ttl=64;161;;192.168.1.109;-57 dBm;-77 dBm
287;17.259.401.951;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=295/9985, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-78 dBm
288;17.261.016.521;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=295/9985, ttl=64 (reply in 289);161;192.168.1.105;;-51 dBm;-51 dBm
