No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
81;4.456.924.391;-51 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=174/44544, ttl=64 (no response found!);161;192.168.1.102;;-51 dBm;
82;4.457.930.609;-51 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=174/44544, ttl=64 (reply in 83);161;192.168.1.102;;-51 dBm;
83;4.459.359.234;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=174/44544, ttl=64 (request in 82);172;192.168.1.102;;-77 dBm;
84;4.462.318.058;-50 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=174/44544, ttl=64;161;192.168.1.102;;-50 dBm;
85;5.003.879.179;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=118/30208, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
86;5.005.745.886;-55 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=118/30208, ttl=64 (no response found!);161;;192.168.1.106;;-55 dBm
87;5.005.771.431;-55 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=118/30208, ttl=64 (no response found!);161;;192.168.1.106;;-55 dBm
88;5.007.799.947;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=118/30208, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
89;5.007.818.685;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=118/30208, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
90;5.008.637.856;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=118/30208, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
91;5.009.412.572;-55 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=118/30208, ttl=64 (reply in 92);161;;192.168.1.106;;-55 dBm
92;5.011.361.291;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=118/30208, ttl=64 (request in 91);172;;192.168.1.106;;-76 dBm
93;5.018.936.856;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=118/30208, ttl=64;161;;192.168.1.106;;-53 dBm
105;5.430.617.899;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=175/44800, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
106;5.432.803.406;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=175/44800, ttl=64 (reply in 107);161;192.168.1.102;;-52 dBm;
107;5.435.890.233;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=175/44800, ttl=64 (request in 106);172;192.168.1.102;;-77 dBm;
108;5.437.821.366;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=175/44800, ttl=64;161;192.168.1.102;;-52 dBm;
109;6.005.126.942;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=119/30464, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
110;6.041.677.278;-48 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=119/30464, ttl=64 (reply in 111);161;;192.168.1.106;;-48 dBm
111;6.049.044.287;-77 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=119/30464, ttl=64 (request in 110);172;;192.168.1.106;;-77 dBm
112;6.051.184.245;-48 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=119/30464, ttl=64;161;;192.168.1.106;;-48 dBm
125;6.431.924.685;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=176/45056, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
126;6.432.171.682;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=176/45056, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
127;6.432.628.287;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=176/45056, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
128;6.452.103.725;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=176/45056, ttl=64 (reply in 129);161;192.168.1.102;;-53 dBm;
129;6.452.917.223;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=176/45056, ttl=64 (request in 128);172;192.168.1.102;;-76 dBm;
130;6.454.574.481;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=176/45056, ttl=64;161;192.168.1.102;;-52 dBm;
131;7.006.163.990;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=120/30720, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
132;7.072.596.977;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=120/30720, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
133;7.072.622.444;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=120/30720, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
134;7.072.638.318;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=120/30720, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
135;7.073.580.412;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=120/30720, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
136;7.073.607.450;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=120/30720, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
137;7.074.866.838;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=120/30720, ttl=64 (reply in 138);161;;192.168.1.106;;-52 dBm
138;7.081.847.038;-77 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=120/30720, ttl=64 (request in 137);172;;192.168.1.106;;-77 dBm
139;7.083.973.071;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=120/30720, ttl=64;161;;192.168.1.106;;-52 dBm
148;7.433.686.370;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=177/45312, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
149;7.481.627.678;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=177/45312, ttl=64 (reply in 150);161;192.168.1.102;;-53 dBm;
150;7.488.878.799;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=177/45312, ttl=64 (request in 149);172;192.168.1.102;;-77 dBm;
151;7.491.587.171;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=177/45312, ttl=64;161;192.168.1.102;;-53 dBm;
152;7.491.625.902;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=177/45312, ttl=64;161;192.168.1.102;;-52 dBm;
153;7.491.642.424;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=177/45312, ttl=64;161;192.168.1.102;;-53 dBm;
154;7.491.658.914;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=177/45312, ttl=64;161;192.168.1.102;;-52 dBm;
155;8.008.003.522;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=121/30976, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
156;8.091.647.426;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=121/30976, ttl=64 (reply in 157);161;;192.168.1.106;;-53 dBm
157;8.098.895.935;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=121/30976, ttl=64 (request in 156);172;;192.168.1.106;;-76 dBm
158;8.100.952.626;-54 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=121/30976, ttl=64;161;;192.168.1.106;;-54 dBm
175;8.435.418.622;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=178/45568, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
176;8.501.970.239;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=178/45568, ttl=64 (reply in 177);161;192.168.1.102;;-53 dBm;
177;8.510.952.594;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=178/45568, ttl=64 (request in 176);172;192.168.1.102;;-76 dBm;
178;8.514.117.073;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=178/45568, ttl=64;161;192.168.1.102;;-52 dBm;
179;8.514.142.906;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=178/45568, ttl=64;161;192.168.1.102;;-53 dBm;
180;9.009.511.888;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=122/31232, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
181;9.009.530.327;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=122/31232, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
182;9.009.571.940;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=122/31232, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
183;9.011.209.513;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=122/31232, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
184;9.011.235.497;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=122/31232, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
185;9.012.094.520;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=122/31232, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
186;9.012.698.295;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=122/31232, ttl=64 (reply in 187);161;;192.168.1.106;;-52 dBm
187;9.019.600.254;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=122/31232, ttl=64 (request in 186);172;;192.168.1.106;;-76 dBm
188;9.021.769.189;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=122/31232, ttl=64;161;;192.168.1.106;;-53 dBm
197;9.437.188.245;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=179/45824, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
198;9.521.915.486;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=179/45824, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
199;9.521.939.469;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=179/45824, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
200;9.521.954.653;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=179/45824, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
201;9.522.956.124;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=179/45824, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
202;9.522.983.666;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=179/45824, ttl=64 (reply in 203);161;192.168.1.102;;-53 dBm;
203;9.533.287.413;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=179/45824, ttl=64 (request in 202);161;192.168.1.102;;-53 dBm;
204;10.021.408.876;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=123/31488, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
205;10.045.162.886;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=123/31488, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
206;10.077.820.439;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=123/31488, ttl=64 (reply in 207);161;;192.168.1.106;;-52 dBm
207;10.079.141.741;-77 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=123/31488, ttl=64 (request in 206);172;;192.168.1.106;;-77 dBm
208;10.081.278.463;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=123/31488, ttl=64;161;;192.168.1.106;;-52 dBm
221;10.438.895.473;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=180/46080, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
222;10.455.785.339;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=180/46080, ttl=64 (reply in 223);161;192.168.1.102;;-54 dBm;
223;10.463.215.632;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=180/46080, ttl=64 (request in 222);172;192.168.1.102;;-76 dBm;
224;10.466.136.649;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=180/46080, ttl=64;161;192.168.1.102;;-53 dBm;
225;10.466.164.999;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=180/46080, ttl=64;161;192.168.1.102;;-52 dBm;
226;10.466.181.298;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=180/46080, ttl=64;161;192.168.1.102;;-53 dBm;
227;10.466.196.841;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=180/46080, ttl=64;161;192.168.1.102;;-52 dBm;
228;10.466.211.604;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=180/46080, ttl=64;161;192.168.1.102;;-53 dBm;
229;11.016.121.067;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=124/31744, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
230;11.020.378.907;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=124/31744, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
231;11.023.904.193;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=124/31744, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
234;11.439.739.594;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=181/46336, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
235;11.471.285.531;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=181/46336, ttl=64 (reply in 242);161;192.168.1.102;;-53 dBm;
242;11.782.245.383;-78 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=181/46336, ttl=64 (request in 235);172;192.168.1.102;;-78 dBm;
243;11.881.216.498;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=181/46336, ttl=64;161;192.168.1.102;;-52 dBm;
244;11.881.241.273;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=181/46336, ttl=64;161;192.168.1.102;;-52 dBm;
245;11.881.256.207;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=181/46336, ttl=64;161;192.168.1.102;;-53 dBm;
246;12.068.722.504;-63 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=125/32000, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
247;12.082.214.526;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=125/32000, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
248;12.082.238.443;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=125/32000, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
249;12.082.253.750;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=125/32000, ttl=64 (reply in 250);161;;192.168.1.106;;-52 dBm
250;12.089.572.524;-78 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=125/32000, ttl=64 (request in 249);172;;192.168.1.106;;-78 dBm
251;12.091.715.035;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=125/32000, ttl=64;161;;192.168.1.106;;-52 dBm
266;12.443.625.350;-67 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=182/46592, ttl=64 (no response found!);172;192.168.1.102;;-67 dBm;
267;12.445.650.094;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=182/46592, ttl=64 (reply in 268);161;192.168.1.102;;-52 dBm;
268;12.447.582.077;-78 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64 (request in 267);172;192.168.1.102;;-78 dBm;
269;12.450.287.290;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-53 dBm;
270;12.450.315.373;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-52 dBm;
271;12.450.332.142;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-52 dBm;
272;12.450.347.276;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-53 dBm;
273;12.451.569.469;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-53 dBm;
274;12.451.594.867;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-52 dBm;
275;12.452.525.136;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-53 dBm;
276;12.452.550.294;-51 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-51 dBm;
277;12.452.568.026;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=182/46592, ttl=64;161;192.168.1.102;;-53 dBm;
278;13.069.758.090;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=126/32256, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
279;13.111.702.387;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=126/32256, ttl=64 (reply in 280);161;;192.168.1.106;;-53 dBm
280;13.119.267.532;-78 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=126/32256, ttl=64 (request in 279);172;;192.168.1.106;;-78 dBm
281;13.120.980.957;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=126/32256, ttl=64;161;;192.168.1.106;;-52 dBm
302;13.442.220.433;-65 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=183/46848, ttl=64 (no response found!);172;192.168.1.102;;-65 dBm;
303;13.522.606.948;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=183/46848, ttl=64 (reply in 304);161;192.168.1.102;;-53 dBm;
304;13.531.204.687;-78 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=183/46848, ttl=64 (request in 303);172;192.168.1.102;;-78 dBm;
305;13.533.366.744;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=183/46848, ttl=64;161;192.168.1.102;;-52 dBm;
306;14.071.025.008;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=127/32512, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
307;14.072.928.610;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=127/32512, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
308;14.072.952.986;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=127/32512, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
